Hour (Coded),Immobilized bus,Broken Truck,Vehicle excess,Accident victim,Running over,Fire vehicles,Occurrence involving freight,Incident involving dangerous freight,Lack of electricity,Fire,Point of flooding,Manifestations,Defect in the network of trolleybuses,Tree on the road,Semaphore off,Intermittent Semaphore,Slowness in traffic (%)
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
14,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4
15,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
25,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11
26,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,11
27,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7
1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10
6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7
8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
9,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,8
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
13,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8
14,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7
15,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8
16,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
17,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,8
18,1,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8
19,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,9
20,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,11
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
24,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,15
25,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,16
26,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,15
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5
4,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,5
5,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,7
6,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7
7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6
8,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6
9,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,6
10,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7
11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8
13,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8
14,0,2,0,3,0,0,0,0,0,0,0,0,1,0,0,0,6
15,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
17,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9
18,2,4,0,1,0,0,0,0,0,0,0,0,1,0,0,0,10
19,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,12
20,0,2,0,1,1,0,0,0,1,0,1,0,0,0,0,0,13
21,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,15
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,17
23,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,19
24,0,1,0,0,0,0,0,0,2,0,3,0,0,0,1,0,20
25,1,3,0,2,0,0,0,0,4,0,1,0,0,0,4,0,22
26,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,23
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
1,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,4
2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
7,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,7
8,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,6
9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
10,2,2,0,0,2,0,0,0,0,0,0,0,1,0,0,0,7
11,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7
12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
13,2,2,0,1,0,0,0,1,0,0,0,1,0,0,0,0,10
14,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
15,1,2,0,0,0,0,1,0,0,0,0,1,0,0,1,0,11
16,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12
17,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,12
18,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10
19,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9